profile,context,directOnlyDifference,directOnlyLower,directOnlyUpper,directOnlyMonteCarloSE,directOnlyRuns,directOnlyBootstrapReplicates,fullAccountingDifference,fullAccountingLower,fullAccountingUpper,fullAccountingMonteCarloSE,fullAccountingRuns,fullAccountingBootstrapReplicates,fullMinusDirectContrastDifference,fullMinusDirectContrastLower,fullMinusDirectContrastUpper,fullMinusDirectContrastMonteCarloSE,fullMinusDirectContrastRuns,fullMinusDirectContrastBootstrapReplicates,practicalSignChange
frozen-generator,implementationCapacity-high,0.135841575,0.13572979645833333,0.1359488425,5.5554658605620924e-05,120,2000,0.08289378221797955,0.0827596710531629,0.08301996182031536,6.663288021184317e-05,120,2000,-0.05294779278202044,-0.05303390605885574,-0.052858403522346165,4.479794962968748e-05,120,2000,False
frozen-generator,partyFragmentation-low,0.13590039166666665,0.13578591729166664,0.1360141395833333,5.8880481773423895e-05,120,2000,0.08295542740647761,0.08282113332858083,0.08309056892459624,6.930772141756899e-05,120,2000,-0.05294496426018903,-0.05303137037381551,-0.05286400225867111,4.346076748157425e-05,120,2000,False
frozen-generator,partyFragmentation-high,0.13586121666666667,0.1357468654166667,0.13597468104166666,5.886592155360337e-05,120,2000,0.08290072434351554,0.08277007796697616,0.08303323060953226,6.785764917991047e-05,120,2000,-0.05296049232315114,-0.05304422722483509,-0.052878171540174324,4.192960692099296e-05,120,2000,False
recency-weighted-15y,baseline,0.13591977500000002,0.13579310000000006,0.13604400208333337,6.525732029351673e-05,120,2000,0.08299009745745117,0.08283889155787517,0.08314021144242148,7.799079622780841e-05,120,2000,-0.052929677542548854,-0.053011378811943885,-0.05284515543853885,4.197081072185675e-05,120,2000,False
recency-weighted-15y,emergencyPressure-low,0.1375177916666667,0.13742234625000002,0.13761220000000005,4.902236169540541e-05,120,2000,0.08599832761984111,0.0859103842008649,0.08608372746161298,4.361523743278346e-05,120,2000,-0.05151946404682558,-0.05157588478177901,-0.05145957245691765,3.048932599390593e-05,120,2000,False
recency-weighted-15y,emergencyPressure-high,0.13710860833333335,0.136982744375,0.137229426875,6.1603254506585e-05,120,2000,0.085009938965619,0.08489279911898902,0.08512635291404534,5.959228113641822e-05,120,2000,-0.05209866936771435,-0.0521730384186746,-0.052027147295916565,3.7392819831906786e-05,120,2000,False
recency-weighted-15y,rightsThreatRate-low,0.13593206666666668,0.13580545104166666,0.1360641070833333,6.705172836234138e-05,120,2000,0.08302079533917545,0.0828800959985464,0.08316254716723906,7.365041843098013e-05,120,2000,-0.052911271327491224,-0.05298847100374632,-0.052836199528546395,3.970479816835197e-05,120,2000,False
recency-weighted-15y,rightsThreatRate-high,0.13584312500000004,0.13571133791666667,0.13597862125000004,6.904307120213053e-05,120,2000,0.0828494163189901,0.08270305546362179,0.08300595762500006,7.952508627506364e-05,120,2000,-0.05299370868100993,-0.05307506723111408,-0.05291202799195124,4.3057317302515634e-05,120,2000,False
recency-weighted-15y,appointmentPolarization-low,0.13594314999999998,0.13581387187499994,0.1360710033333333,6.651302777761507e-05,120,2000,0.08293828541472653,0.08278872731501159,0.0830891593426036,7.600767784650399e-05,120,2000,-0.053004864585273447,-0.053087704898165174,-0.05291717124928583,4.3109251945904735e-05,120,2000,False
recency-weighted-15y,appointmentPolarization-high,0.1359246,0.13579909604166668,0.1360488597916667,6.345350709791434e-05,120,2000,0.08304032254621813,0.08290852322778827,0.08318336921820453,7.268627413177808e-05,120,2000,-0.052884277453781894,-0.05295296862928603,-0.05281188629660694,3.617141193513336e-05,120,2000,False
recency-weighted-15y,legislativeConflict-low,0.13580035,0.13567327937500004,0.13592125291666665,6.606563544139129e-05,120,2000,0.08283287297580583,0.08270042679057242,0.08297304086839297,7.185901956199889e-05,120,2000,-0.05296747702419418,-0.05304789373730005,-0.0528873059467755,4.033103116583072e-05,120,2000,False
recency-weighted-15y,legislativeConflict-high,0.13583745000000003,0.13571780812500003,0.13595846000000003,6.083087134805308e-05,120,2000,0.08282305261781465,0.08267051669568617,0.08297336106448013,7.504921453521043e-05,120,2000,-0.05301439738218538,-0.05310337460297087,-0.05292419898980117,4.549544986149501e-05,120,2000,False
recency-weighted-15y,implementationCapacity-low,0.13584443333333332,0.13570796937500001,0.13597124749999998,6.698155703072012e-05,120,2000,0.0828544106276384,0.0826947701230225,0.08299835461013727,7.794029282774749e-05,120,2000,-0.05299002270569493,-0.05307489808870124,-0.052909027570284456,4.13636336591895e-05,120,2000,False
recency-weighted-15y,implementationCapacity-high,0.13592986666666668,0.13580408875000002,0.1360529754166667,6.356238993014728e-05,120,2000,0.08301469558434141,0.08286762750409317,0.08316872704939664,7.551742851096729e-05,120,2000,-0.05291517108232527,-0.053012395751418376,-0.052823386792573535,4.8260548024147284e-05,120,2000,False
recency-weighted-15y,partyFragmentation-low,0.13596349166666666,0.13585807916666667,0.13607638645833336,5.589428271078208e-05,120,2000,0.08311417828011317,0.08299176982282117,0.08324109812147389,6.4437557234901e-05,120,2000,-0.0528493133865535,-0.05292775619724425,-0.052766940294328116,4.1671503356475914e-05,120,2000,False
recency-weighted-15y,partyFragmentation-high,0.1358928,0.13576846583333335,0.13600896083333333,6.0788015044983456e-05,120,2000,0.08293748266959058,0.08279981084668393,0.08306579658306004,7.043072220112085e-05,120,2000,-0.05295531733040941,-0.053036726884182185,-0.05287448669447198,4.472067326808316e-05,120,2000,False
expanding-history,baseline,0.13587038333333334,0.13574728666666666,0.1359901472916667,6.426708819540873e-05,120,2000,0.08292288160845175,0.08278181703018245,0.08306432644881828,7.286919656323503e-05,120,2000,-0.05294750172488159,-0.05303585357628214,-0.0528627373977815,4.2880027005174934e-05,120,2000,False
expanding-history,emergencyPressure-low,0.1375221666666667,0.13742169916666666,0.13762395208333333,5.089409272338214e-05,120,2000,0.0860235042215647,0.0859498761040056,0.08609965505817424,3.8852186866482154e-05,120,2000,-0.05149866244510199,-0.051561226115173664,-0.05143663811968549,3.226302044699735e-05,120,2000,False
expanding-history,emergencyPressure-high,0.13712127500000004,0.13701101750000003,0.1372302889583334,5.738166969648895e-05,120,2000,0.08507762403921,0.08495541092968276,0.08519763985317574,6.169632101688136e-05,120,2000,-0.05204365096079002,-0.052113800060027964,-0.05197433040227709,3.657116785567655e-05,120,2000,False
expanding-history,rightsThreatRate-low,0.1359626166666667,0.13582903895833337,0.13609896270833333,7.020218997052147e-05,120,2000,0.08309059782640582,0.08294411158817022,0.08323719268318636,7.488647622474677e-05,120,2000,-0.05287201884026087,-0.05294468174465058,-0.05279539668981288,3.754023632503147e-05,120,2000,False
expanding-history,rightsThreatRate-high,0.13583155000000005,0.13570088520833337,0.13596052520833338,6.598271699905222e-05,120,2000,0.08282821471188068,0.08267526835079363,0.08298064412627629,7.951679132368654e-05,120,2000,-0.05300333528811934,-0.05308574393843289,-0.05291936687508779,4.313671901704774e-05,120,2000,False
expanding-history,appointmentPolarization-low,0.13596085000000005,0.1358433147916667,0.13608120291666673,6.141335000489496e-05,120,2000,0.08293864397337342,0.08279709160493279,0.08307919233897758,7.356247287983845e-05,120,2000,-0.05302220602662663,-0.053113189442029175,-0.05293864977086216,4.649727092298217e-05,120,2000,False
expanding-history,appointmentPolarization-high,0.13593469166666672,0.1358149564583334,0.1360583785416667,6.25919343966707e-05,120,2000,0.08306552750053492,0.08293333013866853,0.0832042312101828,6.900527252263519e-05,120,2000,-0.052869164166131785,-0.05294191532749944,-0.052791825630323704,3.8352225370273626e-05,120,2000,False
expanding-history,legislativeConflict-low,0.13579879166666667,0.13568703291666664,0.1359190452083333,6.112699332653393e-05,120,2000,0.08286785245914564,0.08273336424741491,0.08300396923577068,6.834051878960909e-05,120,2000,-0.052930939207521024,-0.053009990044114205,-0.05285203848672147,3.9709533378937137e-05,120,2000,False
expanding-history,legislativeConflict-high,0.13585780833333336,0.1357382710416667,0.13597772562500005,6.0072440508606775e-05,120,2000,0.08288902548879275,0.0827465914689697,0.08303780814725613,7.451681998296466e-05,120,2000,-0.052968782844540624,-0.053051013322499244,-0.05288672385429431,4.190990426127457e-05,120,2000,False
expanding-history,implementationCapacity-low,0.13593683333333337,0.13579513687500003,0.13606935145833332,6.963857769417875e-05,120,2000,0.08289862559747864,0.08272942583709275,0.0830526699327962,8.288533389745472e-05,120,2000,-0.05303820773585471,-0.05312877273203377,-0.052951773778475875,4.323688965581191e-05,120,2000,False
expanding-history,implementationCapacity-high,0.1358686666666667,0.13573773041666667,0.135994911875,6.630654125825123e-05,120,2000,0.08296490411822036,0.08282464828195456,0.08310218344723157,7.200763216130432e-05,120,2000,-0.05290376254844633,-0.05298118395858316,-0.052826589853101305,4.025594213008609e-05,120,2000,False
expanding-history,partyFragmentation-low,0.13594437499999998,0.13582401458333337,0.13606569270833332,6.137345006514948e-05,120,2000,0.08303523014179635,0.08290275006447113,0.08316648192914719,6.732677388549812e-05,120,2000,-0.05290914485820364,-0.05298932160846069,-0.05282928797031376,4.1563910163333876e-05,120,2000,False
expanding-history,partyFragmentation-high,0.135801525,0.13568419083333338,0.13591434979166667,5.855759089418292e-05,120,2000,0.08286359930077204,0.08272523677715811,0.08300197207585484,6.87937125661276e-05,120,2000,-0.05293792569922796,-0.05302904741015688,-0.052846658051526364,4.543860228914854e-05,120,2000,False
previous-term,baseline,0.1358999166666667,0.13578561062500005,0.13601652666666672,6.248932030137096e-05,120,2000,0.08299336330788895,0.0828524335094449,0.08312924795928286,7.6270503279251e-05,120,2000,-0.052906553358777746,-0.052989423555391935,-0.05282358194321703,4.318853635733861e-05,120,2000,False
previous-term,emergencyPressure-low,0.13749975,0.13739135562500004,0.1376130522916667,5.600313222782924e-05,120,2000,0.0860103411963976,0.08592652723488774,0.0860964783434464,4.2285851358722194e-05,120,2000,-0.051489408803602414,-0.051548181096796965,-0.051428218652266884,3.037734499965489e-05,120,2000,False
previous-term,emergencyPressure-high,0.13712581666666665,0.137007723125,0.13724463916666665,6.312484071958501e-05,120,2000,0.08508133409716806,0.08496368614226264,0.08518899977084411,5.9072311042221154e-05,120,2000,-0.052044482569498625,-0.052118427871989684,-0.05197185602469135,3.746262425164321e-05,120,2000,False
previous-term,rightsThreatRate-low,0.13591815833333334,0.13578545312499998,0.13605219416666667,6.879211039936043e-05,120,2000,0.0830561674560891,0.08290609855334895,0.08320667407757475,7.781756171960699e-05,120,2000,-0.05286199087724423,-0.052937956963879026,-0.05278557699552455,4.0723741512293465e-05,120,2000,False
previous-term,rightsThreatRate-high,0.13587808333333337,0.13576226645833336,0.13599331270833334,6.0935402476530414e-05,120,2000,0.08287818416287794,0.08274525942191069,0.08301060111257404,7.162528111147703e-05,120,2000,-0.05299989917045541,-0.05307981997224587,-0.05292179101068551,3.981733545153529e-05,120,2000,False
previous-term,appointmentPolarization-low,0.1358544083333334,0.13573765979166671,0.1359747947916667,6.200647532806304e-05,120,2000,0.08288152664088892,0.08273845331720031,0.08302856823112865,7.377551873392566e-05,120,2000,-0.05297288169244445,-0.05305964093035715,-0.05288176305872954,4.464721021271246e-05,120,2000,False
previous-term,appointmentPolarization-high,0.13593641666666667,0.1358056475,0.13605900458333337,6.51716986566179e-05,120,2000,0.08301810321863079,0.08288298157703641,0.08314740057617606,6.767857317229028e-05,120,2000,-0.052918313448035895,-0.05299487893316654,-0.05284135696802593,3.932466675934753e-05,120,2000,False
previous-term,legislativeConflict-low,0.13586736666666668,0.1357412270833334,0.13600259000000003,6.721410221732889e-05,120,2000,0.08295304356018963,0.08280775840100647,0.08310181036485449,7.637317771309617e-05,120,2000,-0.05291432310647706,-0.05299980110668889,-0.05282960874811775,4.353322235473239e-05,120,2000,False
previous-term,legislativeConflict-high,0.13589925833333333,0.13576149979166668,0.13603688916666665,7.316369151238294e-05,120,2000,0.08297693558474095,0.08282394693321551,0.08314145064600524,8.297892862672283e-05,120,2000,-0.05292232274859238,-0.05299416500966339,-0.05284260885559764,3.953999883360751e-05,120,2000,False
previous-term,implementationCapacity-low,0.1358839916666667,0.1357555129166667,0.13600695875000002,6.501595828217216e-05,120,2000,0.08289444752648253,0.08274576575856889,0.08304018903276983,7.822255030004911e-05,120,2000,-0.05298954414018416,-0.05308030839594531,-0.05290318169734909,4.531325118392584e-05,120,2000,False
previous-term,implementationCapacity-high,0.1359109,0.13576600604166666,0.1360478166666667,6.991877780822622e-05,120,2000,0.08302577738746925,0.08287238162366421,0.08317741323713279,7.768669128357211e-05,120,2000,-0.05288512261253077,-0.052964295727608864,-0.05280884922831558,3.904277962000786e-05,120,2000,False
previous-term,partyFragmentation-low,0.13581744999999998,0.13570314374999995,0.13593960020833332,6.061133891246638e-05,120,2000,0.08291569390797182,0.08278125375985901,0.08305857962412415,7.162972415740233e-05,120,2000,-0.052901756092028185,-0.05298401423698717,-0.05281804095282156,4.270025583124018e-05,120,2000,False
previous-term,partyFragmentation-high,0.13595226666666665,0.13582141999999997,0.13608324479166664,6.791696604219947e-05,120,2000,0.0830061077839945,0.08285631253755286,0.08315571567991857,7.752740499819343e-05,120,2000,-0.05294615888267216,-0.05302830159088066,-0.05286410813098899,4.319804158461362e-05,120,2000,False
