caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,meanPartisanAttachment,0.532,0.422,0.641,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,meanRightsSensitivity,0.734,0.637,0.831,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,meanInstitutionalism,0.779,0.688,0.870,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,replacementPressure,0.000,0.000,0.044,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,estimatedReplacementEvents,0.000,0.000,0.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,courtSize,15.000,12.060,17.940,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,medianIdeology,-0.013,-0.233,0.206,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,ideologicalSpread,0.846,0.629,1.062,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,meanPartisanAttachment,0.531,0.422,0.641,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,meanRightsSensitivity,0.733,0.636,0.830,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,meanInstitutionalism,0.777,0.685,0.868,80,conservative-bounded-normal-95
