profile,context,contrast,claim,left,right,kind,metric,componentRole,difference,lower,upper,monteCarloSE,runs,bootstrapReplicates
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,democraticResponsiveness,registered-component,-0.024902428931296516,-0.026505163272970988,-0.02342162211199014,0.0008017843253445255,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,vetoRelocationRisk,registered-component,0.02577337138017348,0.024398785816861352,0.02729993728915375,0.0007503736385277681,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,totalInstitutionalCost,registered-diagnostic,-0.0015496284999675643,-0.0017535373074662826,-0.0013408169834555447,0.0001051611451834306,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,averageLegislativeResponseDelay,additional-diagnostic,0.08207077568597361,0.07920490239587692,0.08489902485787523,0.001471960277117661,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,legislativeResponseRate,registered-component,-0.31958333333333333,-0.3290651041666666,-0.3094765625,0.004989777130994276,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,legislativeResponseCredibility,registered-component,-0.6147484507472734,-0.6164739326091417,-0.6129584231143101,0.0008761837064949308,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,timelyLegislativeResponseRate,registered-component,-0.060816451995616964,-0.07129502505000695,-0.05101488668098219,0.005327491167748749,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,rightsProtection,registered-component,-0.021070672671170337,-0.022160695572211227,-0.020030320047277977,0.0005451649444938189,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,complianceRate,registered-component,-0.016562499999999997,-0.03469010416666667,0.000729166666666665,0.00883779793593645,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,democraticResponsiveness,registered-component,-0.04854006623158306,-0.05019065426333678,-0.046919230710187006,0.000818536150284204,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,vetoRelocationRisk,registered-component,0.051022486375132736,0.049470337983143174,0.052542372437567736,0.000771712193023262,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,totalInstitutionalCost,registered-diagnostic,-0.0030186270523771632,-0.0032404611563971826,-0.002787333448028132,0.00011475790443831248,120,2000
frozen-generator,baseline,weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,averageLegislativeResponseDelay,additional-diagnostic,-0.41566108479126257,-0.4176891774060515,-0.4136142418485124,0.0010658641977961548,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,legislativeResponseRate,registered-component,0.15864583333333335,0.15145572916666666,0.16593750000000002,0.0038055980981864905,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,legislativeResponseCredibility,registered-component,-0.24286589204030345,-0.24365281331697677,-0.2421237457782411,0.00040059043709434616,120,2000
