caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,observations,courtSize,medianIdeology,ideologicalSpread,meanPartisanAttachment,meanRightsSensitivity,meanInstitutionalism,replacementPressure,estimatedReplacementEvents
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,4,120,15.000,0.007,0.950,0.500,0.757,0.802,0.464,6.966
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,current-federal-court,Current-style federal supreme court,period,1,120,9.000,0.068,1.325,0.637,0.709,0.797,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,current-federal-court,Current-style federal supreme court,period,2,120,9.000,0.071,1.378,0.636,0.707,0.797,0.145,1.307
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,current-federal-court,Current-style federal supreme court,period,3,120,9.000,0.071,1.394,0.639,0.706,0.799,0.145,1.307
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,current-federal-court,Current-style federal supreme court,period,4,120,9.000,0.076,1.349,0.640,0.704,0.797,0.145,1.307
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,120,9.000,0.035,1.378,0.618,0.710,0.780,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,120,9.000,0.034,1.353,0.617,0.708,0.780,0.362,3.258
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,120,9.000,0.030,1.391,0.617,0.711,0.781,0.362,3.258
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,120,9.000,0.044,1.401,0.620,0.707,0.780,0.362,3.258
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,120,15.000,-0.003,0.842,0.531,0.732,0.779,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,120,15.000,-0.003,0.872,0.531,0.731,0.779,0.453,6.798
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,3,120,15.000,-0.007,0.895,0.530,0.732,0.778,0.453,6.798
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,120,15.000,-0.010,0.934,0.532,0.734,0.778,0.453,6.798
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,120,9.000,0.051,1.373,0.613,0.701,0.841,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,120,9.000,0.047,1.390,0.613,0.696,0.844,0.151,1.357
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,120,9.000,0.054,1.384,0.614,0.699,0.841,0.151,1.357
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,120,9.000,0.051,1.386,0.614,0.699,0.842,0.151,1.357
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,strict-recusal-court,Strict recusal with substitute justices,period,1,120,12.000,-0.001,0.775,0.532,0.732,0.769,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,strict-recusal-court,Strict recusal with substitute justices,period,2,120,12.000,0.012,0.849,0.531,0.732,0.768,0.459,5.506
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,strict-recusal-court,Strict recusal with substitute justices,period,3,120,12.000,0.006,0.859,0.530,0.731,0.764,0.459,5.506
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,strict-recusal-court,Strict recusal with substitute justices,period,4,120,12.000,-0.003,0.890,0.531,0.732,0.769,0.459,5.506
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,1,120,9.000,0.036,1.355,0.595,0.731,0.799,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,2,120,9.000,0.023,1.374,0.593,0.727,0.799,0.362,3.258
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,3,120,9.000,0.004,1.386,0.596,0.732,0.800,0.362,3.258
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,4,120,9.000,0.021,1.383,0.595,0.727,0.800,0.362,3.258
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,panel-en-banc-review,Panel review with en banc safety valve,period,1,120,15.000,0.003,0.626,0.502,0.734,0.748,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,panel-en-banc-review,Panel review with en banc safety valve,period,2,120,15.000,0.005,0.673,0.503,0.737,0.749,0.459,6.882
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,panel-en-banc-review,Panel review with en banc safety valve,period,3,120,15.000,-0.019,0.697,0.501,0.734,0.747,0.459,6.882
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,panel-en-banc-review,Panel review with en banc safety valve,period,4,120,15.000,0.004,0.761,0.503,0.735,0.749,0.459,6.882
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,1,120,18.000,0.001,0.850,0.511,0.748,0.804,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,2,120,18.000,0.003,0.864,0.510,0.748,0.806,0.456,8.208
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,3,120,18.000,0.002,0.900,0.513,0.747,0.804,0.456,8.208
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,4,120,18.000,-0.002,0.969,0.512,0.747,0.803,0.456,8.208
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,constitutional-council,Pre-enactment constitutional council,period,1,120,12.000,0.001,0.621,0.477,0.767,0.792,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,constitutional-council,Pre-enactment constitutional council,period,2,120,12.000,0.028,0.661,0.478,0.761,0.795,0.717,8.604
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,constitutional-council,Pre-enactment constitutional council,period,3,120,12.000,0.008,0.735,0.480,0.766,0.793,0.717,8.604
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,constitutional-council,Pre-enactment constitutional council,period,4,120,12.000,0.001,0.810,0.479,0.766,0.793,0.717,8.604
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,legislative-override-court,Judicial review with delayed legislative override,period,1,120,9.000,0.030,1.350,0.597,0.713,0.757,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,legislative-override-court,Judicial review with delayed legislative override,period,2,120,9.000,0.034,1.385,0.598,0.715,0.755,0.384,3.460
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,legislative-override-court,Judicial review with delayed legislative override,period,3,120,9.000,0.026,1.375,0.601,0.718,0.759,0.384,3.460
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,legislative-override-court,Judicial review with delayed legislative override,period,4,120,9.000,0.039,1.385,0.600,0.715,0.757,0.384,3.460
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,accountability-retention-court,Retention-election accountability court,period,1,120,9.000,0.022,1.145,0.587,0.694,0.673,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,accountability-retention-court,Retention-election accountability court,period,2,120,9.000,0.036,1.200,0.584,0.694,0.675,0.929,8.363
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,accountability-retention-court,Retention-election accountability court,period,3,120,9.000,0.013,1.228,0.588,0.695,0.676,0.929,8.363
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,accountability-retention-court,Retention-election accountability court,period,4,120,9.000,0.034,1.282,0.588,0.693,0.677,0.929,8.363
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,1,120,15.000,0.003,0.840,0.501,0.754,0.801,0.000,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,2,120,15.000,-0.010,0.869,0.502,0.754,0.802,0.464,6.966
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,3,120,15.000,-0.013,0.918,0.500,0.756,0.802,0.464,6.966
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,4,120,15.000,-0.005,0.926,0.504,0.756,0.803,0.464,6.966
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,current-federal-court,Current-style federal supreme court,period,1,120,9.000,0.075,1.419,0.694,0.708,0.799,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,current-federal-court,Current-style federal supreme court,period,2,120,9.000,0.071,1.377,0.693,0.708,0.794,0.145,1.307
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,current-federal-court,Current-style federal supreme court,period,3,120,9.000,0.080,1.396,0.691,0.706,0.798,0.145,1.307
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,current-federal-court,Current-style federal supreme court,period,4,120,9.000,0.086,1.352,0.692,0.707,0.800,0.145,1.307
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,120,9.000,0.044,1.372,0.674,0.705,0.784,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,120,9.000,0.054,1.383,0.672,0.707,0.780,0.362,3.258
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,120,9.000,0.044,1.384,0.673,0.707,0.782,0.362,3.258
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,120,9.000,0.051,1.393,0.672,0.707,0.779,0.362,3.258
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,120,15.000,-0.002,0.827,0.585,0.731,0.779,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,120,15.000,0.002,0.858,0.585,0.732,0.778,0.453,6.798
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,3,120,15.000,0.004,0.894,0.584,0.733,0.776,0.453,6.798
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,120,15.000,0.009,0.921,0.584,0.731,0.779,0.453,6.798
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,120,9.000,0.063,1.371,0.665,0.702,0.844,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,120,9.000,0.064,1.373,0.669,0.699,0.845,0.151,1.357
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,120,9.000,0.047,1.369,0.669,0.699,0.843,0.151,1.357
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,120,9.000,0.059,1.395,0.668,0.698,0.844,0.151,1.357
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,strict-recusal-court,Strict recusal with substitute justices,period,1,120,12.000,0.000,0.817,0.585,0.732,0.766,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,strict-recusal-court,Strict recusal with substitute justices,period,2,120,12.000,0.012,0.829,0.586,0.732,0.768,0.459,5.506
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,strict-recusal-court,Strict recusal with substitute justices,period,3,120,12.000,0.007,0.844,0.587,0.733,0.767,0.459,5.506
